stitle,xbody,xcreatedDate,xAddress,GTag_longitude,GTag_latitude
松山,饒河街觀光夜市,17時至24時,饒河街,121°34'30.3,25°03'02.4
松山,民權東路3段103巷,4時至18時,民權東路3段103巷內,121°32'42.6,25°03'48.8
松山,南京東路5段59巷27弄,8時至18時,南京東路5段59巷27弄內,121°33'36.2,25°03'10.2
松山,新東街,8時至12時,新東街(富錦街至三民路180巷及新東街65巷),121°33'53.5,25°03'44.3
松山,八德路3段106巷,8時至18時,八德路3段106巷內,121°33'15.0,25°02'47.6
大安,臨江街,18時至24時,通化街至基隆路口,121°33'18.9,25°01'48.2
大安,安居街9巷,7時至14時,安居街9巷內,121°33'20.4,25°01'15.5
大安,建國假日玉市(中華玉器藝術文化交流協會),週六：9時至20時 週日：9時至18時,建國南路高架橋下靠仁愛路、濟南路區段,121°32'18.4,25°02'09.6
大安,建國假日玉市(臺北市玉石文物協進會),週 六：9時至20時 週日： 9時至18時,建國南路高架橋下靠仁愛路、濟南路區段,121°32'18.4,25°02'09.6
大安,建國假日藝文特區,週 六：9時至18時 週日： 9時至18時,建國南路高架橋下靠信義路,121°32'16.3,25°02'00.8
中山,遼寧街〈朱崙公園〉,18時至24時,長安東路至朱崙街間,121°32'32.0,25°02'57.7
中山,晴光,9時至21時,農安街2巷及雙城街12巷,121°31'21.2,25°03'52.6
中山,雙城街,日：8時至16時 夜：16時24時,雙城街10巷、13巷至農安街口,121°31'27.6,25°03'52.0
中山,五常街,7時至12時,民族東路410巷2弄20號前,121°32'12.3,25°04'01.0
中山,合江街,10時至20時,合江街與興安街路口,121°32'20.8,25°03'23.1
中山,北安路476巷及518巷,10時至18時,北安路476巷及518巷內,121°32'42.1,25°04'46.4
中山,榮星,7時至12時,龍江路328巷內,121°32'22.7,25°03'55.7
中山,四平街,11時至19時,南京東路2段115巷至伊通街口,121°31'59.4,25°03'13.8
中正,南昌路二段,10時至24時,南昌路2段2巷、4巷口,121°31'07.0,25°01'42.8
中正,城中,6時至24時,武昌街1段22巷口至沅陵街間,121°30'44.3,25°02'36.6
中正,東門市場外,5時至21時,金山南路1段110巷、142巷及臨沂街60、84巷及信義路2段79巷等巷內,121°31'35.3,25°02'07.9
中正,南機場,5時至24時,中華路2段307巷至315巷間易牙巷,121°30'21.3,25°01'46.1
大同,延平北路3段,18時至24時,民權西路至民族西路口,121°30'39.8,25°03'56.8
大同,寧夏(臺北市寧夏夜市觀光協會),18時至24時,民生西路至南京西路間,121°30'55.0,25°03'20.9
萬華,西園路二段320巷及同巷55弄,10時至24時,西藏路至西園路320巷及同巷55弄,121°29'29.7,25°01'37.7
萬華,廣州街,16時至24時,梧州街至環河南路間,121°29'51.4,25°02'13.2
萬華,西園路二段140巷,7時至24時,西園路2段140巷33號至35號止,121°29'43.8,25°01'52.8
萬華,梧州街,16時至24時,廣州街至桂林路間,121°29'51.3,25°02'11.5
萬華,德昌街,6時至13時,萬大路與寶興街之間的德昌街94巷附近,121°29'51.7,25°01'30.5
萬華,西昌街,18時至24時,廣州街至桂林路間,121°30'02.5,25°02'25.5
萬華,東三水街,7時至12時,昆明街與康定路之間的三水街一帶,121°30'06.9,25°02'10.1
萬華,華西街(華西街商圈區協會),16時至24時,廣州街至貴陽街,121°29'54.2,25°02'17.9
文山,景美街（日）,6時至12時,景華街與景美街一帶,121°32'30.3,24°59'27.0
文山,興德路兩側,7時至14時,興隆路3段附近的興德路,121°33'18.2,25°00'02.9
內湖,湖光,7時至12時,成功路四段20巷及康寧路1段33巷內,121°35'27.7,25°04'55.3
內湖,麗山,7時至12時,內湖路1段737巷50弄6號,121°34'42.9,25°04'50.5
北投,新北投,8時至18時,復興四路8巷及中和街320巷,121°29'59.6,25°08'29.9
北投,關渡宮,8時至18時,關渡宮前停車場邊,121°27'50.2,25°07'04.3
士林,華榮街,8時至24時,中正路與美崙街間,121°31'24.2,25°05'46.8
士林,社中街,8時至18時,延平北路六段與社中街33巷間,121°30'24.8,25°05'31.4
士林,福華廣場(福華廣場攤販協會),7時至14時,通河街323巷與325巷間,121°31'08.7,25°04'56.0
